Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GCLD-9,Chrome 71.0.3578.98,,2019-02-07 16:21:02,2019-02-07 16:28:30,7m - 28.148s,FAILED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:21:02,2019-02-07 16:21:31,28.529s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:21:03,2019-02-07 16:21:12,9.468s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:21:12,2019-02-07 16:21:13,0.670s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:21:13,2019-02-07 16:21:13,0.276s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:21:13,2019-02-07 16:21:14,1.006s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:21:14,2019-02-07 16:21:15,0.092s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_btn btn-default""))",Chrome 71.0.3578.98,,2019-02-07 16:21:15,2019-02-07 16:21:24,9.655s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Home/a_Services""))",Chrome 71.0.3578.98,,2019-02-07 16:21:24,2019-02-07 16:21:24,0.071s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:21:24,2019-02-07 16:21:25,1.005s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Services/a_Check""))",Chrome 71.0.3578.98,,2019-02-07 16:21:25,2019-02-07 16:21:26,1.146s,PASSED
try,Chrome 71.0.3578.98,,2019-02-07 16:21:26,2019-02-07 16:21:31,4.465s,PASSED
Finally,Chrome 71.0.3578.98,,2019-02-07 16:21:31,2019-02-07 16:21:31,0.069s,PASSED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:21:31,2019-02-07 16:21:55,23.712s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:21:31,2019-02-07 16:21:36,5.521s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:21:36,2019-02-07 16:21:37,0.208s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:21:37,2019-02-07 16:21:37,0.154s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:21:37,2019-02-07 16:21:38,1.002s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:21:38,2019-02-07 16:21:38,0.088s,PASSED
